,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Salina Cruz,71,MX,1561686620,58,16.17,-95.2,82.72,11.95
1,Oum Hadjer,75,TD,1561686777,49,13.3,19.7,85.12,14.16
2,Bredasdorp,100,ZA,1561686569,67,-34.53,20.04,57.2,17.22
3,Thompson,75,CA,1561686777,45,55.74,-97.86,68.0,4.7
4,Ancud,0,CL,1561686777,80,-41.87,-73.82,33.8,5.82
5,Pevek,100,RU,1561686778,96,69.7,170.31,35.47,7.85
6,Coahuayana,90,MX,1561686778,88,18.73,-103.68,73.4,0.67
7,Bluff,100,NZ,1561686778,74,-46.6,168.33,53.01,4.0
8,Busselton,52,AU,1561686778,98,-33.65,115.33,52.0,17.56
9,Melnikovo,91,RU,1561686779,63,56.56,84.08,71.01,6.49
10,Hermanus,53,ZA,1561686779,91,-34.42,19.23,54.0,8.01
11,Safford,75,US,1561686779,10,32.83,-109.71,102.2,12.75
12,Tuatapere,100,NZ,1561686779,74,-46.13,167.68,53.01,4.0
13,Barrow,1,US,1561686779,60,71.29,-156.79,42.8,23.04
14,Victoria,75,CA,1561686632,63,48.43,-123.37,64.99,11.41
15,Saurimo,0,AO,1561686780,44,-9.66,20.39,56.16,4.47
16,Iqaluit,75,CA,1561686780,61,63.75,-68.51,48.2,2.24
17,Thinadhoo,6,MV,1561686648,68,0.53,72.93,84.06,5.86
18,Tuktoyaktuk,40,CA,1561686780,70,69.45,-133.04,46.4,10.29
19,Rikitea,65,PF,1561686780,83,-23.12,-134.97,75.18,16.28
20,Kapaa,90,US,1561686780,88,22.08,-159.32,78.8,13.87
21,Agadir,0,MA,1561686781,82,30.42,-9.6,64.4,7.56
22,Liverpool,0,GB,1561686668,82,53.41,-2.98,57.99,5.82
23,Chuy,0,UY,1561686781,83,-33.7,-53.46,52.34,12.75
24,Ouadda,100,CF,1561686781,98,8.08,22.4,67.05,3.06
25,Punta Arenas,20,CL,1561686782,73,-53.15,-70.92,26.6,10.29
26,Tiksi,100,RU,1561686782,67,71.69,128.87,46.36,9.71
27,Waipawa,0,NZ,1561686782,66,-41.41,175.52,55.0,12.75
28,Puerto Ayora,1,EC,1561686782,93,-0.74,-90.35,71.01,3.0
29,Rawson,100,AR,1561686513,56,-43.3,-65.1,36.82,13.13
30,Albany,1,US,1561686711,64,42.65,-73.76,75.2,4.7
31,Tasiilaq,100,GL,1561686783,93,65.61,-37.64,42.8,5.82
32,Bengkulu,100,ID,1561686783,83,-3.8,102.27,81.59,21.39
33,Ukiah,100,US,1561686525,65,39.15,-123.21,64.99,1.01
34,Port Augusta,0,AU,1561686783,49,-32.5,137.77,68.0,17.22
35,Hithadhoo,97,MV,1561686783,65,-0.6,73.08,84.92,5.82
36,Newport,24,GB,1561686783,93,51.59,-3.0,61.0,20.8
37,Lavrentiya,100,RU,1561686784,95,65.58,-171.0,47.59,7.78
38,Abu Dhabi,2,AE,1561686697,79,24.47,54.37,91.4,2.24
39,Caravelas,0,BR,1561686784,85,-17.71,-39.25,72.7,5.68
40,Wairoa,0,NZ,1561686784,56,-39.03,177.37,55.99,3.04
41,Cape Town,75,ZA,1561686635,93,-33.93,18.42,57.99,13.87
42,Kochevo,0,RU,1561686784,66,59.6,54.31,56.52,5.68
43,Savinka,66,RU,1561686785,42,50.08,47.1,71.87,11.1
44,Flinders,20,AU,1561686785,63,-34.58,150.86,66.99,4.7
45,Castro,34,BR,1561686785,97,-24.79,-50.01,56.97,1.14
46,Avarua,100,CK,1561686785,83,-21.21,-159.78,71.6,9.17
47,Little Current,1,CA,1561686785,68,45.98,-81.92,68.0,3.36
48,Atuona,1,PF,1561686546,76,-9.8,-139.03,80.76,13.73
49,Englewood,40,US,1561686519,28,39.65,-104.99,89.6,13.87
50,Aranos,0,NA,1561686786,34,-24.13,19.12,52.9,10.83
51,Ushuaia,20,AR,1561686786,92,-54.8,-68.3,28.4,18.34
52,Sergeyevka,98,KZ,1561686786,70,53.88,67.42,56.95,4.83
53,Saldanha,78,ZA,1561686786,93,-33.01,17.94,53.6,3.36
54,Vaini,75,TO,1561686787,69,-21.2,-175.2,75.2,13.87
55,Nagua,100,DO,1561686787,93,19.38,-69.85,73.8,4.27
56,Fortuna,20,US,1561686567,82,40.6,-124.16,60.01,12.75
57,Halifax,90,CA,1561686639,93,44.65,-63.57,55.0,6.93
58,Esperance,40,AU,1561686787,93,-33.87,121.9,46.4,16.11
59,Hilo,90,US,1561686787,69,19.73,-155.09,84.99,6.93
60,Longyearbyen,75,SJ,1561686788,71,78.22,15.64,32.0,27.51
61,Vardo,66,NO,1561686788,75,70.37,31.11,43.29,12.64
62,Labytnangi,98,RU,1561686788,74,66.66,66.42,48.97,0.16
63,Qaanaaq,34,GL,1561686788,55,77.48,-69.36,42.98,6.55
64,Sao Joao da Barra,5,BR,1561686788,94,-21.64,-41.05,68.0,1.07
65,Lebu,33,CL,1561686789,86,-37.62,-73.65,53.58,9.69
66,Arraial do Cabo,0,BR,1561686789,85,-22.97,-42.03,72.16,5.55
67,Padang,39,ID,1561686789,74,-0.95,100.35,82.6,6.08
68,Saint-Joseph,90,RE,1561686789,69,-21.37,55.62,73.4,13.87
69,Cayenne,40,GF,1561686717,94,4.93,-52.33,77.0,3.76
70,Souillac,75,MU,1561686790,83,-20.52,57.52,73.4,12.75
71,Ixtapa,40,MX,1561686793,51,20.7,-105.2,86.0,8.05
72,Saskylakh,100,RU,1561686794,56,71.92,114.08,54.36,10.56
73,Yatou,100,CN,1561686794,66,37.15,122.38,78.84,2.01
74,Mount Isa,0,AU,1561686767,44,-20.73,139.5,75.2,10.29
75,Saint-Philippe,90,RE,1561686794,69,-21.36,55.77,73.4,13.87
76,Pudozh,100,RU,1561686794,70,61.81,36.53,54.72,1.83
77,Jamestown,20,US,1561686794,56,42.1,-79.24,73.4,6.93
78,Port Alfred,0,ZA,1561686795,29,-33.59,26.89,66.99,4.0
79,Mora,38,CM,1561686795,59,11.05,14.14,78.93,3.04
80,Narsaq,0,GL,1561686655,75,60.92,-46.05,46.4,5.82
81,Kendari,92,ID,1561686795,53,-3.94,122.5,85.98,0.45
82,Mporokoso,0,ZM,1561686795,67,-9.37,30.12,52.47,5.64
83,Port Elizabeth,0,ZA,1561686796,53,-33.92,25.57,50.0,6.93
84,Temozon,100,MX,1561686796,91,20.8,-88.22,71.71,6.31
85,Cabedelo,0,BR,1561686796,88,-6.98,-34.83,73.4,4.7
86,Ribeira Grande,67,PT,1561686796,69,38.52,-28.7,64.13,14.83
87,Guerrero Negro,0,MX,1561686796,83,27.98,-114.06,64.99,14.03
88,Corum,0,TR,1561686797,82,40.55,34.95,57.2,2.24
89,Norman Wells,75,CA,1561686797,25,65.28,-126.83,73.4,6.93
90,Talnakh,0,RU,1561686797,66,69.49,88.4,51.8,11.18
91,Bethel,1,US,1561686797,73,41.37,-73.41,79.0,4.7
92,Egvekinot,100,RU,1561686797,80,66.32,-179.17,47.88,7.4
93,Castel Volturno,0,IT,1561686797,60,41.01,13.95,79.0,3.36
94,Upernavik,0,GL,1561686798,84,72.79,-56.15,32.94,6.62
95,Beroroha,0,MG,1561686798,87,-21.67,45.17,63.86,5.32
96,Grand-Santi,88,GF,1561686798,99,4.25,-54.38,72.95,1.61
97,Pisco,90,PE,1561686676,88,-13.7,-76.22,64.0,3.36
98,Vestmannaeyjar,100,IS,1561686798,97,63.44,-20.27,52.54,19.6
99,Tezu,100,IN,1561686799,97,27.92,96.17,72.52,5.19
100,Sioux Lookout,75,CA,1561686799,44,50.1,-91.92,75.2,2.24
101,Fairlie,20,GB,1561686799,93,55.76,-4.86,57.2,9.17
102,Beoumi,75,CI,1561686799,100,7.67,-5.58,73.4,9.17
103,Cidreira,0,BR,1561686799,92,-30.18,-50.21,61.11,12.06
104,Butaritari,0,KI,1561686800,66,3.07,172.79,84.45,7.11
105,Bambous Virieux,75,MU,1561686800,83,-20.34,57.76,73.4,12.75
106,Saint Anthony,40,US,1561686800,73,45.02,-93.22,75.2,6.02
107,Yellowknife,20,CA,1561686800,27,62.46,-114.35,64.4,5.82
108,Cherskiy,100,RU,1561686801,77,68.75,161.3,51.04,12.59
109,Acarau,7,BR,1561686801,91,-2.89,-40.12,73.92,7.36
110,Hasaki,75,JP,1561686559,83,35.73,140.83,81.0,5.82
111,Mnogovershinnyy,0,RU,1561686801,40,53.94,139.92,72.01,9.35
112,Dikson,89,RU,1561686801,95,73.51,80.55,34.02,4.61
113,San Quintin,0,MX,1561686801,68,30.48,-115.95,55.0,3.0
114,Oranjestad,20,AW,1561686802,69,12.52,-70.03,82.4,23.04
115,Hamilton,40,CA,1561686733,64,43.23,-79.95,75.99,5.82
116,Tadine,100,NC,1561686802,85,-21.55,167.88,71.4,8.23
117,Basco,100,PH,1561686802,74,20.45,121.97,85.73,8.48
118,Plettenberg Bay,0,ZA,1561686676,29,-34.05,23.37,57.36,9.82
119,Sicuani,0,PE,1561686803,66,-14.27,-71.23,35.76,6.89
120,Chokurdakh,0,RU,1561686803,34,70.63,147.92,63.97,12.3
121,Kovdor,0,RU,1561686803,71,67.57,30.48,42.01,7.45
122,Pangnirtung,100,CA,1561686803,57,66.15,-65.71,46.51,2.82
123,Iraquara,0,BR,1561686804,88,-12.25,-41.62,57.15,8.9
124,Barinas,100,VE,1561686804,93,8.62,-70.21,70.68,3.18
125,Lagoa,81,PT,1561686804,71,39.05,-27.98,63.41,14.43
126,Cockburn Town,93,TC,1561686804,79,21.46,-71.14,82.49,22.86
127,Beihai,35,CN,1561686804,79,21.48,109.1,87.8,17.9
128,Sistranda,75,NO,1561686805,93,63.73,8.83,50.0,14.99
129,Bahia Blanca,32,AR,1561686623,61,-38.72,-62.27,46.38,12.37
130,Porbandar,83,IN,1561686805,85,21.64,69.61,83.93,14.97
131,Faanui,8,PF,1561686805,80,-16.48,-151.75,79.41,12.3
132,Bubaque,59,GW,1561686565,84,11.28,-15.83,80.65,16.22
133,Codrington,87,AU,1561686805,61,-38.27,141.97,63.0,11.01
134,Hami,0,CN,1561686806,12,42.8,93.45,85.89,7.29
135,Zaidpur,40,IN,1561686806,62,26.83,81.33,87.8,5.82
136,Torbay,75,CA,1561686806,93,47.67,-52.73,50.0,2.8
137,New Norfolk,75,AU,1561686806,58,-42.78,147.06,61.0,10.29
138,Bathsheba,40,BB,1561686753,74,13.22,-59.52,82.4,21.92
139,Dunedin,19,NZ,1561686806,43,-45.87,170.5,57.99,5.99
140,Comodoro Rivadavia,0,AR,1561686807,92,-45.87,-67.5,30.2,10.29
141,Tilichiki,100,RU,1561686807,65,60.47,166.1,51.01,10.8
142,Hofn,100,IS,1561686807,99,64.25,-15.21,43.07,3.91
143,Joshimath,43,IN,1561686522,55,30.57,79.57,63.12,4.25
144,Bandarbeyla,84,SO,1561686808,56,9.49,50.81,78.89,29.1
145,Erzin,0,TR,1561686808,74,36.96,36.2,79.0,18.34
146,Luderitz,0,NA,1561686808,93,-26.65,15.16,46.4,6.93
147,Geraldton,20,AU,1561686808,76,-28.77,114.6,55.4,5.82
148,Siocon,100,PH,1561686809,72,7.71,122.14,83.26,12.35
149,Praia da Vitoria,40,PT,1561686809,72,38.73,-27.07,64.4,15.68
150,Half Moon Bay,75,US,1561686809,52,37.46,-122.43,69.01,16.11
151,Khudumelapye,0,BW,1561686809,58,-23.88,24.75,51.58,9.8
152,Chippewa Falls,90,US,1561686516,88,44.94,-91.39,70.0,4.99
153,Pavlysh,33,UA,1561686810,86,48.92,33.36,61.93,16.15
154,Mar del Plata,100,AR,1561686810,63,-38.0,-57.56,50.0,15.01
155,Tignere,100,CM,1561686810,94,7.37,12.65,65.34,1.72
156,Melfi,5,IT,1561686810,100,41.0,15.65,69.8,4.7
157,Solano,100,PH,1561686811,86,16.53,121.2,74.35,3.96
158,Moranbah,95,AU,1561686811,61,-22.0,148.05,69.8,22.46
159,Seoul,75,KR,1561686701,78,37.57,126.98,78.8,2.24
160,Severo-Kurilsk,100,RU,1561686811,89,50.68,156.12,42.28,9.57
161,Biankouma,100,CI,1561686812,98,7.74,-7.61,69.24,4.47
162,Palu,90,ID,1561686773,65,-0.89,119.87,84.04,3.49
163,Manokwari,81,ID,1561686573,67,-0.87,134.08,79.86,2.57
164,Meulaboh,16,ID,1561686672,77,4.14,96.13,81.55,7.07
165,Te Anau,3,NZ,1561686812,69,-45.42,167.72,49.44,6.06
166,Alice Springs,0,AU,1561686812,34,-23.7,133.88,66.2,6.93
167,Freeport,1,US,1561686813,65,40.66,-73.58,84.99,4.7
168,Jiayuguan,1,CN,1561686813,22,39.82,98.3,73.18,13.85
169,Lorengau,78,PG,1561686813,82,-2.02,147.27,81.99,9.37
